,codibge,municipio,microrregiao,mesorregiao,estado
0,1200138,Bujari,Rio Branco,Vale do Acre,Acre
1,1200807,Porto Acre,Rio Branco,Vale do Acre,Acre
2,1200385,Plácido de Castro,Rio Branco,Vale do Acre,Acre
3,1200302,Feijó,Tarauacá,Vale do Juruá,Acre
4,1200500,Sena Madureira,Sena Madureira,Vale do Acre,Acre
5,1200427,Rodrigues Alves,Cruzeiro do Sul,Vale do Juruá,Acre
6,1200328,Jordão,Tarauacá,Vale do Juruá,Acre
7,2701209,Cacimbinhas,Palmeira dos Índios,Agreste Alagoano,Alagoas
8,2703007,Ibateguara,Serrana dos Quilombos,Leste Alagoano,Alagoas
9,2708956,Senador Rui Palmeira,Santana do Ipanema,Sertão Alagoano,Alagoas
10,2706448,Paripueira,Maceió,Leste Alagoano,Alagoas
11,2702603,Feira Grande,Arapiraca,Agreste Alagoano,Alagoas
12,2703106,Igaci,Palmeira dos Índios,Agreste Alagoano,Alagoas
13,2706422,Pariconha,Serrana do Sertão Alagoano,Sertão Alagoano,Alagoas
14,2702900,Girau do Ponciano,Arapiraca,Agreste Alagoano,Alagoas
15,2707800,Roteiro,São Miguel dos Campos,Leste Alagoano,Alagoas
16,2708204,São Brás,Traipu,Agreste Alagoano,Alagoas
17,2707909,Santa Luzia do Norte,Maceió,Leste Alagoano,Alagoas
18,2708600,São Miguel dos Campos,São Miguel dos Campos,Leste Alagoano,Alagoas
19,2707206,Poço das Trincheiras,Santana do Ipanema,Sertão Alagoano,Alagoas
20,2703601,Japaratinga,Litoral Norte Alagoano,Leste Alagoano,Alagoas
21,2701506,Campo Grande,Arapiraca,Agreste Alagoano,Alagoas
22,2702355,Craíbas,Arapiraca,Agreste Alagoano,Alagoas
23,2705408,Monteirópolis,Batalha,Sertão Alagoano,Alagoas
24,2706109,Ouro Branco,Santana do Ipanema,Sertão Alagoano,Alagoas
25,2701357,Campestre,Mata Alagoana,Leste Alagoano,Alagoas
26,2709400,Viçosa,Serrana dos Quilombos,Leste Alagoano,Alagoas
27,2702009,Coité do Nóia,Arapiraca,Agreste Alagoano,Alagoas
28,2701605,Canapi,Serrana do Sertão Alagoano,Sertão Alagoano,Alagoas
29,1600055,Serra do Navio,Macapá,Sul do Amapá,Amapá
30,1300607,Benjamin Constant,Alto Solimões,Sudoeste Amazonense,Amazonas
31,1303601,Santa Isabel do Rio Negro,Rio Negro,Norte Amazonense,Amazonas
32,1300086,Anamã,Coari,Centro Amazonense,Amazonas
33,1300300,Autazes,Manaus,Centro Amazonense,Amazonas
34,1302900,Maués,Parintins,Centro Amazonense,Amazonas
35,1301654,Guajará,Juruá,Sudoeste Amazonense,Amazonas
36,1304302,Urucará,Parintins,Centro Amazonense,Amazonas
37,1300102,Anori,Coari,Centro Amazonense,Amazonas
38,2923001,Nova Viçosa,Porto Seguro,Sul Baiano,Bahia
39,2918456,Jucuruçu,Porto Seguro,Sul Baiano,Bahia
40,2918704,Lafaiete Coutinho,Jequié,Centro Sul Baiano,Bahia
41,2921807,Mortugaba,Guanambi,Centro Sul Baiano,Bahia
42,2920809,Marcionílio Souza,Jequié,Centro Sul Baiano,Bahia
43,2921609,Morpará,Barra,Vale São-Franciscano da Bahia,Bahia
44,2903235,Barro Alto,Irecê,Centro Norte Baiano,Bahia
45,2921500,Monte Santo,Euclides da Cunha,Nordeste Baiano,Bahia
46,2921104,Medeiros Neto,Porto Seguro,Sul Baiano,Bahia
47,2921054,Matina,Guanambi,Centro Sul Baiano,Bahia
48,2919959,Maetinga,Brumado,Centro Sul Baiano,Bahia
49,2919553,Luís Eduardo Magalhães,Barreiras,Extremo Oeste Baiano,Bahia
50,2919801,Macaúbas,Boquira,Centro Sul Baiano,Bahia
51,2919900,Macururé,Paulo Afonso,Vale São-Franciscano da Bahia,Bahia
52,2922409,Mutuípe,Jequié,Centro Sul Baiano,Bahia
53,2910701,Euclides da Cunha,Euclides da Cunha,Nordeste Baiano,Bahia
54,2911907,Iaçu,Itaberaba,Centro Norte Baiano,Bahia
55,2911659,Guajeru,Brumado,Centro Sul Baiano,Bahia
56,2911709,Guanambi,Guanambi,Centro Sul Baiano,Bahia
57,2911402,Glória,Paulo Afonso,Vale São-Franciscano da Bahia,Bahia
58,2906006,Campo Formoso,Senhor do Bonfim,Centro Norte Baiano,Bahia
59,2907608,Central,Irecê,Centro Norte Baiano,Bahia
60,2907103,Carinhanha,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,Bahia
61,2907004,Cardeal da Silva,Entre Rios,Nordeste Baiano,Bahia
62,2906824,Canudos,Euclides da Cunha,Nordeste Baiano,Bahia
63,2908903,Coração de Maria,Feira de Santana,Centro Norte Baiano,Bahia
64,2909307,Correntina,Santa Maria da Vitória,Extremo Oeste Baiano,Bahia
65,2906402,Candeal,Serrinha,Nordeste Baiano,Bahia
66,2908606,Conde,Entre Rios,Nordeste Baiano,Bahia
67,2916856,Itatim,Feira de Santana,Centro Norte Baiano,Bahia
68,2915700,Itamari,Ilhéus-Itabuna,Sul Baiano,Bahia
69,2917805,Jaguaripe,Santo Antônio de Jesus,Metropolitana de Salvador,Bahia
70,2903904,Bom Jesus da Lapa,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,Bahia
71,2916906,Itiruçu,Jequié,Centro Sul Baiano,Bahia
72,2913309,Ichu,Serrinha,Nordeste Baiano,Bahia
73,2913002,Ibitiara,Boquira,Centro Sul Baiano,Bahia
74,2904803,Caatiba,Vitória da Conquista,Centro Sul Baiano,Bahia
75,2912103,Ibicaraí,Ilhéus-Itabuna,Sul Baiano,Bahia
76,2914901,Itacaré,Ilhéus-Itabuna,Sul Baiano,Bahia
77,2913705,Inhambupe,Alagoinhas,Nordeste Baiano,Bahia
78,2914208,Irajuba,Jequié,Centro Sul Baiano,Bahia
79,2904506,Brotas de Macaúbas,Boquira,Centro Sul Baiano,Bahia
80,2904605,Brumado,Brumado,Centro Sul Baiano,Bahia
81,2924702,Piripá,Brumado,Centro Sul Baiano,Bahia
82,2931608,Teolândia,Ilhéus-Itabuna,Sul Baiano,Bahia
83,2924405,Pilão Arcado,Juazeiro,Vale São-Franciscano da Bahia,Bahia
84,2924207,Pedro Alexandre,Jeremoabo,Nordeste Baiano,Bahia
85,2924652,Pintadas,Feira de Santana,Centro Norte Baiano,Bahia
86,2927804,Santa Cruz da Vitória,Ilhéus-Itabuna,Sul Baiano,Bahia
87,2930766,Sítio do Quinto,Jeremoabo,Nordeste Baiano,Bahia
88,2926004,Remanso,Juazeiro,Vale São-Franciscano da Bahia,Bahia
89,2902054,Araçás,Alagoinhas,Nordeste Baiano,Bahia
90,2926509,Ribeira do Amparo,Ribeira do Pombal,Nordeste Baiano,Bahia
91,2930303,Serra Dourada,Santa Maria da Vitória,Extremo Oeste Baiano,Bahia
92,2901957,Apuarema,Jequié,Centro Sul Baiano,Bahia
93,2930154,Serra do Ramalho,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,Bahia
94,2925501,Prado,Porto Seguro,Sul Baiano,Bahia
95,2900355,Adustina,Ribeira do Pombal,Nordeste Baiano,Bahia
96,2930204,Sento Sé,Juazeiro,Vale São-Franciscano da Bahia,Bahia
97,2930105,Senhor do Bonfim,Senhor do Bonfim,Centro Norte Baiano,Bahia
98,2930600,Serrolândia,Jacobina,Centro Norte Baiano,Bahia
99,2928802,Santo Estêvão,Feira de Santana,Centro Norte Baiano,Bahia
100,2902401,Aurelino Leal,Ilhéus-Itabuna,Sul Baiano,Bahia
101,2900801,Alcobaça,Porto Seguro,Sul Baiano,Bahia
102,2901155,América Dourada,Irecê,Centro Norte Baiano,Bahia
103,2928604,Santo Amaro,Santo Antônio de Jesus,Metropolitana de Salvador,Bahia
104,2929404,São Miguel das Matas,Jequié,Centro Sul Baiano,Bahia
105,2931350,Teixeira de Freitas,Porto Seguro,Sul Baiano,Bahia
106,2923100,Olindina,Ribeira do Pombal,Nordeste Baiano,Bahia
107,2933455,Wanderley,Cotegipe,Extremo Oeste Baiano,Bahia
108,2929255,São Gabriel,Irecê,Centro Norte Baiano,Bahia
109,2929206,São Francisco do Conde,Salvador,Metropolitana de Salvador,Bahia
110,2929602,Sapeaçu,Santo Antônio de Jesus,Metropolitana de Salvador,Bahia
111,2933307,Vitória da Conquista,Vitória da Conquista,Centro Sul Baiano,Bahia
112,2900207,Abaré,Paulo Afonso,Vale São-Franciscano da Bahia,Bahia
113,2932309,Ubatã,Ilhéus-Itabuna,Sul Baiano,Bahia
114,2932408,Uibaí,Irecê,Centro Norte Baiano,Bahia
115,2923704,Paratinga,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,Bahia
116,2923803,Paripiranga,Ribeira do Pombal,Nordeste Baiano,Bahia
117,2923407,Palmas de Monte Alto,Guanambi,Centro Sul Baiano,Bahia
118,2312403,São Gonçalo do Amarante,Baixo Curu,Norte Cearense,Ceará
119,2307205,Jati,Brejo Santo,Sul Cearense,Ceará
120,2312700,Senador Pompeu,Sertão de Senador Pompeu,Sertões Cearenses,Ceará
121,2313757,Umirim,Uruburetama,Norte Cearense,Ceará
122,2313609,Ubajara,Ibiapaba,Noroeste Cearense,Ceará
123,2312106,Santana do Cariri,Cariri,Sul Cearense,Ceará
124,2311959,Salitre,Chapada do Araripe,Sul Cearense,Ceará
125,2306801,Jaguaribara,Médio Jaguaribe,Jaguaribe,Ceará
126,2304202,Crato,Cariri,Sul Cearense,Ceará
127,2311900,Saboeiro,Sertão de Inhamuns,Sertões Cearenses,Ceará
128,2306553,Itarema,Litoral de Camocim e Acaraú,Noroeste Cearense,Ceará
129,2314102,Viçosa do Ceará,Ibiapaba,Noroeste Cearense,Ceará
130,2310308,Parambu,Sertão de Inhamuns,Sertões Cearenses,Ceará
131,2313005,Solonópole,Sertão de Senador Pompeu,Sertões Cearenses,Ceará
132,2313104,Tabuleiro do Norte,Baixo Jaguaribe,Jaguaribe,Ceará
133,2308708,Morada Nova,Baixo Jaguaribe,Jaguaribe,Ceará
134,2301505,Arneiroz,Sertão de Inhamuns,Sertões Cearenses,Ceará
135,2312908,Sobral,Sobral,Noroeste Cearense,Ceará
136,2313302,Tauá,Sertão de Inhamuns,Sertões Cearenses,Ceará
137,2300507,Alcântaras,Meruoca,Noroeste Cearense,Ceará
138,2309458,Ocara,Chorozinho,Norte Cearense,Ceará
139,2301901,Barbalha,Cariri,Sul Cearense,Ceará
140,2309607,Pacajus,Pacajus,Metropolitana de Fortaleza,Ceará
141,2303204,Caririaçu,Caririaçu,Sul Cearense,Ceará
142,2303402,Carnaubal,Ibiapaba,Noroeste Cearense,Ceará
143,2309904,Pacujá,Sobral,Noroeste Cearense,Ceará
144,2311306,Quixadá,Sertão de Quixeramobim,Sertões Cearenses,Ceará
